timestamp,laser,force,pressure,cycle_state,step_index,trajectory_name
2026-09-23T14:26:45.785+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:45.877+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:45.977+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:46.077+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:46.177+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:46.277+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:46.376+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:46.477+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:46.577+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:46.677+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:46.777+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:46.877+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:46.977+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:47.076+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:47.177+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:47.277+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:47.377+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:47.477+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:47.577+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:47.677+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:47.777+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:47.877+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:47.977+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:48.077+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:48.177+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:48.277+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:48.377+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:48.477+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:48.577+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:48.677+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:48.777+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:48.877+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:48.977+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:49.076+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:49.177+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:49.277+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:49.377+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:49.477+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:49.577+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:49.677+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:49.777+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:49.877+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:49.977+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:50.077+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:50.177+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:50.277+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:50.377+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:50.477+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:50.577+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:50.677+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:50.776+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:50.877+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:50.977+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:51.077+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:51.177+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:26:51.277+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
