timestamp,laser,force,pressure,cycle_state,step_index,trajectory_name
2026-09-22T14:45:52.461+01:00,39.0,1.34,24.1,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:52.563+01:00,39.0,1.34,22.6,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:52.661+01:00,40.6,1.21,28.8,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:52.762+01:00,42.2,1.75,27.0,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:52.862+01:00,42.8,1.34,20.7,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:52.961+01:00,38.5,1.86,29.5,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:53.080+01:00,41.1,1.86,29.5,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:53.161+01:00,39.6,1.04,20.4,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:53.261+01:00,37.4,1.13,25.3,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:53.361+01:00,38.3,1.05,26.6,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:53.461+01:00,41.7,1.4,23.3,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:53.561+01:00,38.8,1.44,28.3,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:53.662+01:00,42.7,1.37,21.8,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:53.762+01:00,42.4,1.48,28.4,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:53.862+01:00,40.0,1.75,25.1,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:53.961+01:00,38.4,1.22,26.1,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:54.061+01:00,37.5,1.3,27.6,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:54.161+01:00,39.9,1.94,20.2,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:54.262+01:00,38.2,1.77,20.0,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:54.361+01:00,39.3,1.42,28.7,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:54.461+01:00,42.8,1.02,28.7,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:54.562+01:00,41.9,1.27,21.7,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:54.661+01:00,37.5,1.87,24.8,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-22T14:45:54.761+01:00,41.1,1.46,24.8,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:54.862+01:00,42.7,1.91,20.3,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:54.961+01:00,37.9,1.96,23.7,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:55.061+01:00,41.6,1.01,23.3,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:55.161+01:00,42.8,1.07,27.9,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:55.262+01:00,39.6,1.77,21.4,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:55.361+01:00,37.8,1.98,27.4,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:55.462+01:00,42.3,1.23,20.5,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:55.562+01:00,40.0,1.7,25.4,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:55.662+01:00,40.8,1.24,24.0,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:55.761+01:00,37.0,1.93,28.1,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:55.861+01:00,41.0,1.05,23.5,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:55.961+01:00,40.4,1.01,28.9,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:56.061+01:00,40.5,1.34,29.4,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:56.161+01:00,41.0,1.66,25.9,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:56.261+01:00,41.5,1.87,27.0,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:56.361+01:00,42.4,1.8,26.7,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:56.492+01:00,41.5,1.81,29.8,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:56.562+01:00,37.4,1.23,20.9,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-22T14:45:56.661+01:00,37.4,1.23,20.9,RUNNING,2,EdgeCase2_TO_EdgeCase
